,Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,avgmpg
29,BMW,325Ci 2dr,Sedan,Europe,Rear,"$30,795","$28,245",2.5,6.0,184,20,29,3197,107,177,24.5
30,BMW,325Ci convertible 2dr,Sedan,Europe,Rear,"$37,995","$34,800",2.5,6.0,184,19,27,3560,107,177,23.0
31,BMW,325xi 4dr,Sedan,Europe,All,"$30,245","$27,745",2.5,6.0,184,19,27,3461,107,176,23.0
32,BMW,330i 4dr,Sedan,Europe,Rear,"$35,495","$32,525",3.0,6.0,225,20,30,3285,107,176,25.0
33,BMW,330Ci 2dr,Sedan,Europe,Rear,"$36,995","$33,890",3.0,6.0,225,20,30,3285,107,176,25.0
34,BMW,330xi 4dr,Sedan,Europe,All,"$37,245","$34,115",3.0,6.0,225,20,29,3483,107,176,24.5
35,BMW,525i 4dr,Sedan,Europe,Rear,"$39,995","$36,620",2.5,6.0,184,19,28,3428,114,191,23.5
36,BMW,330Ci convertible 2dr,Sedan,Europe,Rear,"$44,295","$40,530",3.0,6.0,225,19,28,3616,107,177,23.5
37,BMW,530i 4dr,Sedan,Europe,Rear,"$44,995","$41,170",3.0,6.0,225,20,30,3472,114,191,25.0
38,BMW,545iA 4dr,Sedan,Europe,Rear,"$54,995","$50,270",4.4,8.0,325,18,26,3814,114,191,22.0
39,BMW,745i 4dr,Sedan,Europe,Rear,"$69,195","$63,190",4.4,8.0,325,18,26,4376,118,198,22.0
40,BMW,745Li 4dr,Sedan,Europe,Rear,"$73,195","$66,830",4.4,8.0,325,18,26,4464,123,204,22.0
41,BMW,M3 coupe 2dr,Sports,Europe,Rear,"$48,195","$44,170",3.2,6.0,333,16,24,3415,108,177,20.0
42,BMW,M3 convertible 2dr,Sports,Europe,Rear,"$56,595","$51,815",3.2,6.0,333,16,23,3781,108,177,19.5
43,BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,"$33,895","$31,065",2.5,6.0,184,20,28,2932,98,161,24.0
44,BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,"$41,045","$37,575",3.0,6.0,225,21,29,2998,98,161,25.0
45,BMW,325xi Sport,Wagon,Europe,All,"$32,845","$30,110",2.5,6.0,184,19,26,3594,107,176,22.5
46,Buick,Rainier,SUV,USA,All,"$37,895","$34,357",4.2,6.0,275,15,21,4600,113,193,18.0
47,Buick,Rendezvous CX,SUV,USA,Front,"$26,545","$24,085",3.4,6.0,185,19,26,4024,112,187,22.5
48,Buick,Century Custom 4dr,Sedan,USA,Front,"$22,180","$20,351",3.1,6.0,175,20,30,3353,109,195,25.0
49,Buick,LeSabre Custom 4dr,Sedan,USA,Front,"$26,470","$24,282",3.8,6.0,205,20,29,3567,112,200,24.5
50,Buick,Regal LS 4dr,Sedan,USA,Front,"$24,895","$22,835",3.8,6.0,200,20,30,3461,109,196,25.0
51,Buick,Regal GS 4dr,Sedan,USA,Front,"$28,345","$26,047",3.8,6.0,240,18,28,3536,109,196,23.0
52,Buick,LeSabre Limited 4dr,Sedan,USA,Front,"$32,245","$29,566",3.8,6.0,205,20,29,3591,112,200,24.5
53,Buick,Park Avenue 4dr,Sedan,USA,Front,"$35,545","$32,244",3.8,6.0,205,20,29,3778,114,207,24.5
54,Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,"$40,720","$36,927",3.8,6.0,240,18,28,3909,114,207,23.0
55,Cadillac,Escalade,SUV,USA,Front,"$52,795","$48,377",5.3,8.0,295,14,18,5367,116,199,16.0
56,Cadillac,SRX V8,SUV,USA,Front,"$46,995","$43,523",4.6,8.0,320,16,21,4302,116,195,18.5
57,Cadillac,CTS VVT 4dr,Sedan,USA,Rear,"$30,835","$28,575",3.6,6.0,255,18,25,3694,113,190,21.5
58,Cadillac,Deville 4dr,Sedan,USA,Front,"$45,445","$41,650",4.6,8.0,275,18,26,3984,115,207,22.0
59,Cadillac,Deville DTS 4dr,Sedan,USA,Front,"$50,595","$46,362",4.6,8.0,300,18,26,4044,115,207,22.0
60,Cadillac,Seville SLS 4dr,Sedan,USA,Front,"$47,955","$43,841",4.6,8.0,275,18,26,3992,112,201,22.0
61,Cadillac,XLR convertible 2dr,Sports,USA,Rear,"$76,200","$70,546",4.6,8.0,320,17,25,3647,106,178,21.0
62,Cadillac,Escalade EXT,Truck,USA,All,"$52,975","$48,541",6.0,8.0,345,13,17,5879,130,221,15.0
63,Chevrolet,Suburban 1500 LT,SUV,USA,Front,"$42,735","$37,422",5.3,8.0,295,14,18,4947,130,219,16.0
64,Chevrolet,Tahoe LT,SUV,USA,All,"$41,465","$36,287",5.3,8.0,295,14,18,5050,116,197,16.0
65,Chevrolet,TrailBlazer LT,SUV,USA,Front,"$30,295","$27,479",4.2,6.0,275,16,21,4425,113,192,18.5
66,Chevrolet,Tracker,SUV,USA,Front,"$20,255","$19,108",2.5,6.0,165,19,22,2866,98,163,20.5
67,Chevrolet,Aveo 4dr,Sedan,USA,Front,"$11,690","$10,965",1.6,4.0,103,28,34,2370,98,167,31.0
68,Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,"$12,585","$11,802",1.6,4.0,103,28,34,2348,98,153,31.0
69,Chevrolet,Cavalier 2dr,Sedan,USA,Front,"$14,610","$13,697",2.2,4.0,140,26,37,2617,104,183,31.5
70,Chevrolet,Cavalier 4dr,Sedan,USA,Front,"$14,810","$13,884",2.2,4.0,140,26,37,2676,104,183,31.5
71,Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,"$16,385","$15,357",2.2,4.0,140,26,37,2617,104,183,31.5
72,Chevrolet,Impala 4dr,Sedan,USA,Front,"$21,900","$20,095",3.4,6.0,180,21,32,3465,111,200,26.5
73,Chevrolet,Malibu 4dr,Sedan,USA,Front,"$18,995","$17,434",2.2,4.0,145,24,34,3174,106,188,29.0
74,Chevrolet,Malibu LS 4dr,Sedan,USA,Front,"$20,370","$18,639",3.5,6.0,200,22,30,3297,106,188,26.0
75,Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,"$21,825","$20,026",3.4,6.0,180,21,32,3340,111,198,26.5
76,Chevrolet,Impala LS 4dr,Sedan,USA,Front,"$25,000","$22,931",3.8,6.0,200,20,30,3476,111,200,25.0
77,Chevrolet,Impala SS 4dr,Sedan,USA,Front,"$27,995","$25,672",3.8,6.0,240,18,28,3606,111,200,23.0
78,Chevrolet,Malibu LT 4dr,Sedan,USA,Front,"$23,495","$21,551",3.5,6.0,200,23,32,3315,106,188,27.5
79,Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,"$24,225","$22,222",3.8,6.0,200,18,28,3434,111,198,23.0
80,Chevrolet,Astro,Sedan,USA,All,"$26,395","$23,954",4.3,6.0,190,14,17,4605,111,190,15.5
81,Chevrolet,Venture LS,Sedan,USA,Front,"$27,020","$24,518",3.4,6.0,185,19,26,3699,112,187,22.5
82,Chevrolet,Corvette 2dr,Sports,USA,Rear,"$44,535","$39,068",5.7,8.0,350,18,25,3246,105,180,21.5
83,Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,"$51,535","$45,193",5.7,8.0,350,18,25,3248,105,180,21.5
84,Chevrolet,Avalanche 1500,Truck,USA,All,"$36,100","$31,689",5.3,8.0,295,14,18,5678,130,222,16.0
85,Chevrolet,Colorado Z85,Truck,USA,All,"$18,760","$17,070",2.8,4.0,175,18,23,3623,111,192,20.5
86,Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,"$20,310","$18,480",4.3,6.0,200,15,21,4142,119,206,18.0
87,Chevrolet,Silverado SS,Truck,USA,All,"$40,340","$35,399",6.0,8.0,300,13,17,4804,144,238,15.0
88,Chevrolet,SSR,Truck,USA,Rear,"$41,995","$39,306",5.3,8.0,300,16,19,4760,116,191,17.5
89,Chevrolet,Malibu Maxx LS,Wagon,USA,Front,"$22,225","$20,394",3.5,6.0,200,22,30,3458,112,188,26.0
90,Chrysler,PT Cruiser 4dr,Sedan,USA,Front,"$17,985","$16,919",2.4,4.0,150,22,29,3101,103,169,25.5
91,Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,"$22,000","$20,573",2.4,4.0,150,22,29,3105,103,169,25.5
92,Chrysler,Sebring 4dr,Sedan,USA,Front,"$19,090","$17,805",2.4,4.0,150,22,30,3173,108,191,26.0
93,Chrysler,Sebring Touring 4dr,Sedan,USA,Front,"$21,840","$20,284",2.7,6.0,200,21,28,3222,108,191,24.5
94,Chrysler,300M 4dr,Sedan,USA,Front,"$29,865","$27,797",3.5,6.0,250,18,27,3581,113,198,22.5
95,Chrysler,Concorde LX 4dr,Sedan,USA,Front,"$24,130","$22,452",2.7,6.0,200,21,29,3479,113,208,25.0
96,Chrysler,Concorde LXi 4dr,Sedan,USA,Front,"$26,860","$24,909",3.5,6.0,232,19,27,3548,113,208,23.0
97,Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,"$25,955","$24,172",2.4,4.0,220,21,27,3217,103,169,24.0
98,Chrysler,Sebring convertible 2dr,Sedan,USA,Front,"$25,215","$23,451",2.4,4.0,150,22,30,3357,106,194,26.0
99,Chrysler,300M Special Edition 4dr,Sedan,USA,Front,"$33,295","$30,884",3.5,6.0,255,18,27,3650,113,198,22.5
100,Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,"$30,950","$28,613",2.7,6.0,200,21,28,3448,106,194,24.5
101,Chrysler,Town and Country LX,Sedan,USA,Front,"$27,490","$25,371",3.3,6.0,180,19,26,4068,119,201,22.5
102,Chrysler,Town and Country Limited,Sedan,USA,Front,"$38,380","$35,063",3.8,6.0,215,18,25,4331,119,201,21.5
103,Chrysler,Crossfire 2dr,Sports,USA,Rear,"$34,495","$32,033",3.2,6.0,215,17,25,3060,95,160,21.0
104,Chrysler,Pacifica,Wagon,USA,Rear,"$31,230","$28,725",3.5,6.0,250,17,23,4675,116,199,20.0
105,Dodge,Durango SLT,SUV,USA,All,"$32,235","$29,472",4.7,8.0,230,15,21,4987,119,201,18.0
106,Dodge,Neon SE 4dr,Sedan,USA,Front,"$13,670","$12,849",2.0,4.0,132,29,36,2581,105,174,32.5
107,Dodge,Neon SXT 4dr,Sedan,USA,Front,"$15,040","$14,086",2.0,4.0,132,29,36,2626,105,174,32.5
108,Dodge,Intrepid SE 4dr,Sedan,USA,Front,"$22,035","$20,502",2.7,6.0,200,21,29,3469,113,204,25.0
109,Dodge,Stratus SXT 4dr,Sedan,USA,Front,"$18,820","$17,512",2.4,4.0,150,21,28,3182,108,191,24.5
110,Dodge,Stratus SE 4dr,Sedan,USA,Front,"$20,220","$18,821",2.4,4.0,150,21,28,3175,108,191,24.5
111,Dodge,Intrepid ES 4dr,Sedan,USA,Front,"$24,885","$23,058",3.5,6.0,232,18,27,3487,113,204,22.5
112,Dodge,Caravan SE,Sedan,USA,Front,"$21,795","$20,508",2.4,4.0,150,20,26,3862,113,189,23.0
113,Dodge,Grand Caravan SXT,Sedan,USA,All,"$32,660","$29,812",3.8,6.0,215,18,25,4440,119,201,21.5
114,Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,"$81,795","$74,451",8.3,10.0,500,12,20,3410,99,176,16.0
115,Dodge,Dakota Regular Cab,Truck,USA,Rear,"$17,630","$16,264",3.7,6.0,210,16,22,3714,112,193,19.0
116,Dodge,Dakota Club Cab,Truck,USA,Rear,"$20,300","$18,670",3.7,6.0,210,16,22,3829,131,219,19.0
117,Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,"$20,215","$18,076",3.7,6.0,215,16,21,4542,121,208,18.5
118,Ford,Excursion 6.8 XLT,SUV,USA,All,"$41,475","$36,494",6.8,10.0,310,10,13,7190,137,227,11.5
119,Ford,Expedition 4.6 XLT,SUV,USA,Front,"$34,560","$30,468",4.6,8.0,232,15,19,5000,119,206,17.0
120,Ford,Explorer XLT V6,SUV,USA,All,"$29,670","$26,983",4.0,6.0,210,15,20,4463,114,190,17.5
121,Ford,Escape XLS,SUV,USA,All,"$22,515","$20,907",3.0,6.0,201,18,23,3346,103,173,20.5
122,Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,"$13,270","$12,482",2.0,4.0,130,26,33,2612,103,168,29.5
123,Ford,Focus LX 4dr,Sedan,USA,Front,"$13,730","$12,906",2.0,4.0,110,27,36,2606,103,168,31.5
124,Ford,Focus SE 4dr,Sedan,USA,Front,"$15,460","$14,496",2.0,4.0,130,26,33,2606,103,168,29.5
125,Ford,Focus ZX5 5dr,Sedan,USA,Front,"$15,580","$14,607",2.0,4.0,130,26,33,2691,103,168,29.5
126,Ford,Focus SVT 2dr,Sedan,USA,Front,"$19,135","$17,878",2.0,4.0,170,21,28,2750,103,168,24.5
127,Ford,Taurus LX 4dr,Sedan,USA,Front,"$20,320","$18,881",3.0,6.0,155,20,27,3306,109,198,23.5
128,Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,"$22,735","$20,857",3.0,6.0,201,19,26,3313,109,198,22.5
129,Ford,Crown Victoria 4dr,Sedan,USA,Rear,"$24,345","$22,856",4.6,8.0,224,17,25,4057,115,212,21.0
130,Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,"$27,370","$25,105",4.6,8.0,224,17,25,4057,115,212,21.0
131,Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,"$30,315","$27,756",4.6,8.0,239,17,25,4057,115,212,21.0
132,Ford,Freestar SE,Sedan,USA,Front,"$26,930","$24,498",3.9,6.0,193,17,23,4275,121,201,20.0
133,Ford,Mustang 2dr (convertible),Sports,USA,Rear,"$18,345","$16,943",3.8,6.0,193,20,29,3290,101,183,24.5
134,Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,"$29,380","$26,875",4.6,8.0,260,17,25,3347,101,183,21.0
135,Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,"$37,530","$34,483",3.9,8.0,280,17,24,3780,107,186,20.5
136,Ford,F-150 Regular Cab XL,Truck,USA,Rear,"$22,010","$19,490",4.6,8.0,231,15,19,4788,126,211,17.0
137,Ford,F-150 Supercab Lariat,Truck,USA,All,"$33,540","$29,405",5.4,8.0,300,14,18,5464,133,218,16.0
138,Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,"$14,385","$13,717",2.3,4.0,143,24,29,3028,111,188,26.5
139,Ford,Focus ZTW,Wagon,USA,Front,"$17,475","$16,375",2.0,4.0,130,26,33,2702,103,178,29.5
140,Ford,Taurus SE,Wagon,USA,Front,"$22,290","$20,457",3.0,6.0,155,19,26,3497,109,198,22.5
141,GMC,Envoy XUV SLE,SUV,USA,Front,"$31,890","$28,922",4.2,6.0,275,15,19,4945,129,208,17.0
142,GMC,Yukon 1500 SLE,SUV,USA,Front,"$35,725","$31,361",4.8,8.0,285,16,19,5042,116,199,17.5
143,GMC,Yukon XL 2500 SLT,SUV,USA,All,"$46,265","$40,534",6.0,8.0,325,13,17,6133,130,219,15.0
144,GMC,Safari SLE,Sedan,USA,Rear,"$25,640","$23,215",4.3,6.0,190,16,20,4309,111,190,18.0
145,GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,"$16,530","$14,877",2.8,4.0,175,18,25,3351,111,192,21.5
146,GMC,Sierra Extended Cab 1500,Truck,USA,Rear,"$25,717","$22,604",4.8,8.0,285,17,20,4548,144,230,18.5
147,GMC,Sierra HD 2500,Truck,USA,All,"$29,322","$25,759",6.0,8.0,300,13,18,5440,133,222,15.5
148,GMC,Sonoma Crew Cab,Truck,USA,All,"$25,395","$23,043",4.3,6.0,190,15,19,4083,123,208,17.0
149,Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,"$20,140","$18,451",1.4,4.0,93,46,51,2732,103,175,48.5
150,Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,"$19,110","$17,911",2.0,3.0,73,60,66,1850,95,155,63.0
151,Honda,Pilot LX,SUV,Asia,All,"$27,560","$24,843",3.5,6.0,240,17,22,4387,106,188,19.5
152,Honda,CR-V LX,SUV,Asia,All,"$19,860","$18,419",2.4,4.0,160,21,25,3258,103,179,23.0
153,Honda,Element LX,SUV,Asia,All,"$18,690","$17,334",2.4,4.0,160,21,24,3468,101,167,22.5
154,Honda,Civic DX 2dr,Sedan,Asia,Front,"$13,270","$12,175",1.7,4.0,115,32,38,2432,103,175,35.0
155,Honda,Civic HX 2dr,Sedan,Asia,Front,"$14,170","$12,996",1.7,4.0,117,36,44,2500,103,175,40.0
156,Honda,Civic LX 4dr,Sedan,Asia,Front,"$15,850","$14,531",1.7,4.0,115,32,38,2513,103,175,35.0
157,Honda,Accord LX 2dr,Sedan,Asia,Front,"$19,860","$17,924",2.4,4.0,160,26,34,2994,105,188,30.0
158,Honda,Accord EX 2dr,Sedan,Asia,Front,"$22,260","$20,080",2.4,4.0,160,26,34,3047,105,188,30.0
159,Honda,Civic EX 4dr,Sedan,Asia,Front,"$17,750","$16,265",1.7,4.0,127,32,37,2601,103,175,34.5
160,Honda,Civic Si 2dr hatch,Sedan,Asia,Front,"$19,490","$17,849",2.0,4.0,160,26,30,2782,101,166,28.0
161,Honda,Accord LX V6 4dr,Sedan,Asia,Front,"$23,760","$21,428",3.0,6.0,240,21,30,3349,108,190,25.5
162,Honda,Accord EX V6 2dr,Sedan,Asia,Front,"$26,960","$24,304",3.0,6.0,240,21,30,3294,105,188,25.5
163,Honda,Odyssey LX,Sedan,Asia,Front,"$24,950","$22,498",3.5,6.0,240,18,25,4310,118,201,21.5
164,Honda,Odyssey EX,Sedan,Asia,Front,"$27,450","$24,744",3.5,6.0,240,18,25,4365,118,201,21.5
165,Honda,S2000 convertible 2dr,Sports,Asia,Rear,"$33,260","$29,965",2.2,4.0,240,20,25,2835,95,162,22.5
166,Hummer,H2,SUV,USA,All,"$49,995","$45,815",6.0,8.0,316,10,12,6400,123,190,11.0
167,Hyundai,Santa Fe GLS,SUV,Asia,Front,"$21,589","$20,201",2.7,6.0,173,20,26,3549,103,177,23.0
168,Hyundai,Accent 2dr hatch,Sedan,Asia,Front,"$10,539","$10,107",1.6,4.0,103,29,33,2255,96,167,31.0
169,Hyundai,Accent GL 4dr,Sedan,Asia,Front,"$11,839","$11,116",1.6,4.0,103,29,33,2290,96,167,31.0
170,Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,"$11,939","$11,209",1.6,4.0,103,29,33,2339,96,167,31.0
171,Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,"$13,839","$12,781",2.0,4.0,138,26,34,2635,103,178,30.0
172,Hyundai,Elantra GT 4dr,Sedan,Asia,Front,"$15,389","$14,207",2.0,4.0,138,26,34,2635,103,178,30.0
173,Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,"$15,389","$14,207",2.0,4.0,138,26,34,2698,103,178,30.0
174,Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,"$19,339","$17,574",2.7,6.0,170,19,27,3217,106,187,23.0
175,Hyundai,Sonata LX 4dr,Sedan,Asia,Front,"$20,339","$18,380",2.7,6.0,170,19,27,3217,106,187,23.0
176,Hyundai,XG350 4dr,Sedan,Asia,Front,"$24,589","$22,055",3.5,6.0,194,17,26,3651,108,192,21.5
177,Hyundai,XG350 L 4dr,Sedan,Asia,Front,"$26,189","$23,486",3.5,6.0,194,17,26,3651,108,192,21.5
178,Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,"$18,739","$17,101",2.7,6.0,172,19,26,3023,100,173,22.5
179,Infiniti,G35 4dr,Sedan,Asia,Rear,"$28,495","$26,157",3.5,6.0,260,18,26,3336,112,187,22.0
180,Infiniti,G35 Sport Coupe 2dr,Sedan,Asia,Rear,"$29,795","$27,536",3.5,6.0,280,18,26,3416,112,182,22.0
181,Infiniti,G35 4dr,Sedan,Asia,All,"$32,445","$29,783",3.5,6.0,260,18,26,3677,112,187,22.0
182,Infiniti,I35 4dr,Sedan,Asia,Front,"$31,145","$28,320",3.5,6.0,255,19,26,3306,108,194,22.5
183,Infiniti,M45 4dr,Sedan,Asia,Rear,"$42,845","$38,792",4.5,8.0,340,17,23,3851,110,197,20.0
184,Infiniti,Q45 Luxury 4dr,Sedan,Asia,Rear,"$52,545","$47,575",4.5,8.0,340,17,23,3977,113,200,20.0
185,Infiniti,FX35,Wagon,Asia,Rear,"$34,895","$31,756",3.5,6.0,280,16,22,4056,112,189,19.0
186,Infiniti,FX45,Wagon,Asia,All,"$36,395","$33,121",4.5,8.0,315,15,19,4309,112,189,17.0
187,Isuzu,Ascender S,SUV,Asia,All,"$31,849","$29,977",4.2,6.0,275,15,20,4967,129,208,17.5
188,Isuzu,Rodeo S,SUV,Asia,Front,"$20,449","$19,261",3.2,6.0,193,17,21,3836,106,178,19.0
189,Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,"$29,995","$27,355",2.5,6.0,192,18,26,3428,107,184,22.0
190,Jaguar,X-Type 3.0 4dr,Sedan,Europe,All,"$33,995","$30,995",3.0,6.0,227,18,25,3516,107,184,21.5
191,Jaguar,S-Type 3.0 4dr,Sedan,Europe,Rear,"$43,895","$40,004",3.0,6.0,235,18,26,3777,115,192,22.0
192,Jaguar,S-Type 4.2 4dr,Sedan,Europe,Rear,"$49,995","$45,556",4.2,8.0,294,18,28,3874,115,192,23.0
193,Jaguar,S-Type R 4dr,Sedan,Europe,Rear,"$63,120","$57,499",4.2,8.0,390,17,24,4046,115,192,20.5
194,Jaguar,Vanden Plas 4dr,Sedan,Europe,Rear,"$68,995","$62,846",4.2,8.0,294,18,28,3803,119,200,23.0
195,Jaguar,XJ8 4dr,Sedan,Europe,Rear,"$59,995","$54,656",4.2,8.0,294,18,28,3803,119,200,23.0
196,Jaguar,XJR 4dr,Sedan,Europe,Rear,"$74,995","$68,306",4.2,8.0,390,17,24,3948,119,200,20.5
197,Jaguar,XK8 coupe 2dr,Sports,Europe,Rear,"$69,995","$63,756",4.2,8.0,294,18,26,3779,102,187,22.0
198,Jaguar,XK8 convertible 2dr,Sports,Europe,Rear,"$74,995","$68,306",4.2,8.0,294,18,26,3980,102,187,22.0
199,Jaguar,XKR coupe 2dr,Sports,Europe,Rear,"$81,995","$74,676",4.2,8.0,390,16,23,3865,102,187,19.5
200,Jaguar,XKR convertible 2dr,Sports,Europe,Rear,"$86,995","$79,226",4.2,8.0,390,16,23,4042,102,187,19.5
201,Jeep,Grand Cherokee Laredo,SUV,USA,Front,"$27,905","$25,686",4.0,6.0,195,16,21,3790,106,181,18.5
202,Jeep,Liberty Sport,SUV,USA,All,"$20,130","$18,973",2.4,4.0,150,20,24,3826,104,174,22.0
203,Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,"$25,520","$23,275",4.0,6.0,190,16,19,3575,93,150,17.5
204,Kia,Sorento LX,SUV,Asia,Front,"$19,635","$18,630",3.5,6.0,192,16,19,4112,107,180,17.5
205,Kia,Optima LX 4dr,Sedan,Asia,Front,"$16,040","$14,910",2.4,4.0,138,23,30,3281,106,186,26.5
206,Kia,Rio 4dr manual,Sedan,Asia,Front,"$10,280","$9,875",1.6,4.0,104,26,33,2403,95,167,29.5
207,Kia,Rio 4dr auto,Sedan,Asia,Front,"$11,155","$10,705",1.6,4.0,104,25,32,2458,95,167,28.5
208,Kia,Spectra 4dr,Sedan,Asia,Front,"$12,360","$11,630",1.8,4.0,124,24,32,2661,101,178,28.0
209,Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,"$13,580","$12,830",1.8,4.0,124,24,32,2686,101,178,28.0
210,Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,"$14,630","$13,790",1.8,4.0,124,24,32,2697,101,178,28.0
211,Kia,Optima LX V6 4dr,Sedan,Asia,Front,"$18,435","$16,850",2.7,6.0,170,20,27,3279,106,186,23.5
